ds,yhat
1960-10-01,457.7909505
1960-11-01,418.3726535
1960-12-01,451.905233
1961-01-01,464.2771939
1961-02-01,461.8780885
1961-03-01,494.4476947
1961-04-01,492.3040848
1961-05-01,493.7900595
1961-06-01,537.189716
1961-07-01,577.2797228
1961-08-01,572.749308
1961-09-01,533.388029
1961-10-01,491.3892028
1961-11-01,460.8783017
1961-12-01,493.685419
1962-01-01,499.3331942
1962-02-01,496.3430532
1962-03-01,532.4812958
1962-04-01,525.1448984
1962-05-01,529.5820644
1962-06-01,577.2977544
1962-07-01,611.1896374
1962-08-01,614.1967297
1962-09-01,566.753467
1962-10-01,527.189642
1962-11-01,498.0411402
1962-12-01,527.6935183
1963-01-01,533.3473965
1963-02-01,535.4647325
1963-03-01,575.138739
1963-04-01,560.1597937
1963-05-01,571.8796797
1963-06-01,609.6595541
1963-07-01,647.2737055
1963-08-01,650.2640777
1963-09-01,600.9276609
1963-10-01,562.0081773
1963-11-01,539.8536145
1963-12-01,562.4689063
1964-01-01,573.8228949
1964-02-01,566.8858
1964-03-01,600.0327208
1964-04-01,603.3671703
1964-05-01,610.1566685
1964-06-01,645.1835628
1964-07-01,687.2742977
1964-08-01,687.9591135
1964-09-01,634.6507102
1964-10-01,604.0129371
1964-11-01,567.3594163
1964-12-01,594.2656278
1965-01-01,617.4311797
1965-02-01,605.367229
1965-03-01,637.9368352
1965-04-01,638.5260714
1965-05-01,643.9572619
1965-06-01,679.5501108
1965-07-01,723.5017094
1965-08-01,721.7360708
1965-09-01,676.4965239
1965-10-01,644.5431886
1965-11-01,604.3674422
1965-12-01,636.7939139
1966-01-01,649.5003967
1966-02-01,638.703448
1966-03-01,674.8416906
1966-04-01,678.2988842
1966-05-01,678.5688272
1966-06-01,720.4062492
1966-07-01,764.3436232
1966-08-01,757.6858702
1966-09-01,712.9754536
1966-10-01,677.3568445
1966-11-01,640.401535
1966-12-01,673.9155049
1967-01-01,682.3341592
1967-02-01,678.5732274
1967-03-01,718.2472339
1967-04-01,710.3269962
1967-05-01,715.3688202
1967-06-01,755.8815407
1967-07-01,797.440908
1967-08-01,792.6244725
1967-09-01,754.0816466
1967-10-01,710.99494
1967-11-01,682.9621094
1967-12-01,715.622892
1968-01-01,717.3120354
1968-02-01,713.1077866
1968-03-01,753.1867066
1968-04-01,746.8563108
1968-05-01,753.2651634
1968-06-01,795.3507653
1968-07-01,830.7634382
1968-08-01,834.1811001
1968-09-01,783.6374729
1968-10-01,746.3733318
1968-11-01,720.513402
1968-12-01,743.2523905
1969-01-01,760.5396746
1969-02-01,755.5344314
1969-03-01,788.1040376
1969-04-01,780.8864662
1969-05-01,790.1792485
1969-06-01,828.5368735
1969-07-01,865.8621042
1969-08-01,874.8900565
1969-09-01,819.9856644
1969-10-01,787.6516835
1969-11-01,754.5346446
1969-12-01,780.2830544
1970-01-01,795.7223833
1970-02-01,787.6902107
1970-03-01,823.8284533
1970-04-01,821.4073791
1970-05-01,831.7228129
1970-06-01,863.8953898
1970-07-01,907.4521181
1970-08-01,907.8530727
1970-09-01,855.3358484
1970-10-01,823.5788311
1970-11-01,789.3882977
1970-12-01,816.2758997
