ds,yhat
1961-01-01,464.2771939
1961-02-01,461.8780885
1961-03-01,494.4476947
1961-04-01,492.3040848
1961-05-01,493.7900595
1961-06-01,537.189716
1961-07-01,577.2797228
1961-08-01,572.749308
1961-09-01,533.388029
1961-10-01,491.3892028
1961-11-01,460.8783017
1961-12-01,493.685419
1962-01-01,499.3331942
1962-02-01,496.3430532
1962-03-01,532.4812958
1962-04-01,525.1448984
1962-05-01,529.5820644
1962-06-01,577.2977544
1962-07-01,611.1896374
1962-08-01,614.1967297
1962-09-01,566.753467
1962-10-01,527.189642
1962-11-01,498.0411402
1962-12-01,527.6935183
1963-01-01,533.3473965
1963-02-01,535.4647325
1963-03-01,575.138739
1963-04-01,560.1597937
1963-05-01,571.8796797
1963-06-01,609.6595541
1963-07-01,647.2737055
1963-08-01,650.2640777
1963-09-01,600.9276609
1963-10-01,562.0081773
1963-11-01,539.8536145
1963-12-01,562.4689063
