when,total_world
1/1/2020,27
1/2/2020,27
1/3/2020,44
1/4/2020,44
1/5/2020,59
1/6/2020,59
1/7/2020,59
1/8/2020,59
1/9/2020,59
1/10/2020,59
1/11/2020,59
1/12/2020,59
1/13/2020,60
1/14/2020,60
1/15/2020,61
1/16/2020,61
1/17/2020,66
1/18/2020,83
1/19/2020,219
1/20/2020,239
1/21/2020,392
1/22/2020,534
1/23/2020,631
1/24/2020,897
1/25/2020,1350
1/26/2020,2023
1/27/2020,2820
1/28/2020,4587
1/29/2020,6067
1/30/2020,7823
1/31/2020,9826
2/1/2020,11946
2/2/2020,14554
2/3/2020,17372
2/4/2020,20615
2/5/2020,24512
2/6/2020,28253
2/7/2020,31430
2/8/2020,34869
2/9/2020,37488
2/10/2020,40470
2/11/2020,42970
2/12/2020,45003
2/13/2020,60154
2/14/2020,64322
2/15/2020,66882
2/16/2020,68910
2/17/2020,70977
2/18/2020,72873
2/19/2020,74649
2/20/2020,75102
2/21/2020,76085
2/22/2020,77170
2/23/2020,78178
2/24/2020,78648
2/25/2020,79441
2/26/2020,80306
2/27/2020,81401
2/28/2020,82670
2/29/2020,84518
3/1/2020,86337
3/2/2020,88416
3/3/2020,90237
3/4/2020,92487
3/5/2020,94758
3/6/2020,97736
3/7/2020,101817
3/8/2020,105781
3/9/2020,109926
3/10/2020,114633
3/11/2020,119552
3/12/2020,127087
3/13/2020,136108
3/14/2020,145977
3/15/2020,158110
3/16/2020,170467
3/17/2020,184207
3/18/2020,200665
3/19/2020,220474
3/20/2020,250844
3/21/2020,282197
3/22/2020,316244
3/23/2020,350244
3/24/2020,393139
3/25/2020,434024
3/26/2020,486247
3/27/2020,546592
3/28/2020,610926
3/29/2020,674187
3/30/2020,731997
3/31/2020,795558
4/1/2020,868154
4/2/2020,944901
4/3/2020,1021636
4/4/2020,1102583
4/5/2020,1187575
4/6/2020,1256508
4/7/2020,1328840
4/8/2020,1403815
4/9/2020,1488293
4/10/2020,1574088
4/11/2020,1663407
4/12/2020,1744177
4/13/2020,1815431
4/14/2020,1881445
4/15/2020,1958047
4/16/2020,2037789
4/17/2020,2120751
4/18/2020,2202645
4/19/2020,2282379
4/20/2020,2354519
4/21/2020,2430477
4/22/2020,2516207
4/23/2020,2582490
4/24/2020,2659924
4/25/2020,2733689
4/26/2020,2834237
4/27/2020,2917292
4/28/2020,2983072
4/29/2020,3054637
4/30/2020,3132441
5/1/2020,3217026
5/2/2020,3308768
5/3/2020,3389937
5/4/2020,3468446
5/5/2020,3545612
5/6/2020,3624796
5/7/2020,3714619
5/8/2020,3808804
5/9/2020,3898946
5/10/2020,3989101
5/11/2020,4066090
5/12/2020,4137120
5/13/2020,4222906
5/14/2020,4308856
5/15/2020,4405521
5/16/2020,4503554
5/17/2020,4597750
5/18/2020,4678967
5/19/2020,4766103
5/20/2020,4861178
5/21/2020,4960541
5/22/2020,5068465
5/23/2020,5175039
5/24/2020,5276145
5/25/2020,5370361
5/26/2020,5459457
5/27/2020,5555327
5/28/2020,5657910
5/29/2020,5776715
5/30/2020,5899733
5/31/2020,6027529
6/1/2020,6135497
6/2/2020,6235978
6/3/2020,6348497
6/4/2020,6475181
6/5/2020,6602843
6/6/2020,6736353
6/7/2020,6862215
6/8/2020,6978533
6/9/2020,7084384
6/10/2020,7209978
6/11/2020,7343440
6/12/2020,7481017
6/13/2020,7625482
6/14/2020,7759511
6/15/2020,7881616
6/16/2020,8000417
6/17/2020,8141722
6/18/2020,8318148
6/19/2020,8456815
6/20/2020,8634087
6/21/2020,8795672
