when,deathtotal
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,1
1/12/2020,1
1/13/2020,1
1/14/2020,1
1/15/2020,2
1/16/2020,2
1/17/2020,2
1/18/2020,2
1/19/2020,3
1/20/2020,3
1/21/2020,6
1/22/2020,17
1/23/2020,17
1/24/2020,26
1/25/2020,41
1/26/2020,56
1/27/2020,81
1/28/2020,106
1/29/2020,132
1/30/2020,170
1/31/2020,213
2/1/2020,259
2/2/2020,305
2/3/2020,362
2/4/2020,427
2/5/2020,493
2/6/2020,565
2/7/2020,638
2/8/2020,724
2/9/2020,813
2/10/2020,910
2/11/2020,1018
2/12/2020,1115
2/13/2020,1370
2/14/2020,1383
2/15/2020,1527
2/16/2020,1669
2/17/2020,1775
2/18/2020,1873
2/19/2020,2012
2/20/2020,2126
2/21/2020,2245
2/22/2020,2357
2/23/2020,2461
2/24/2020,2616
2/25/2020,2695
2/26/2020,2758
2/27/2020,2796
2/28/2020,2853
2/29/2020,2915
3/1/2020,2973
3/2/2020,3040
3/3/2020,3112
3/4/2020,3196
3/5/2020,3276
3/6/2020,3378
3/7/2020,3482
3/8/2020,3579
3/9/2020,3807
3/10/2020,4014
3/11/2020,4286
3/12/2020,4612
3/13/2020,4961
3/14/2020,5400
3/15/2020,5761
3/16/2020,6507
3/17/2020,7105
3/18/2020,7905
3/19/2020,8847
3/20/2020,9890
3/21/2020,11259
3/22/2020,12959
3/23/2020,14600
3/24/2020,16380
3/25/2020,18644
3/26/2020,21217
3/27/2020,23966
3/28/2020,27388
3/29/2020,30881
3/30/2020,34010
3/31/2020,37904
4/1/2020,42533
4/2/2020,47439
4/3/2020,52394
4/4/2020,59025
4/5/2020,65170
4/6/2020,69842
4/7/2020,75108
4/8/2020,82767
4/9/2020,89203
4/10/2020,96648
4/11/2020,103868
4/12/2020,109894
4/13/2020,115160
4/14/2020,120531
4/15/2020,128135
4/16/2020,138655
4/17/2020,147364
4/18/2020,155932
4/19/2020,162425
4/20/2020,167460
4/21/2020,172796
4/22/2020,180080
4/23/2020,186181
4/24/2020,193625
4/25/2020,199057
4/26/2020,205303
4/27/2020,209230
4/28/2020,214120
4/29/2020,220638
4/30/2020,227309
5/1/2020,232843
5/2/2020,238683
5/3/2020,243448
5/4/2020,247134
5/5/2020,251133
5/6/2020,257081
5/7/2020,263467
5/8/2020,269213
5/9/2020,274478
5/10/2020,278918
5/11/2020,282328
5/12/2020,285898
5/13/2020,291674
5/14/2020,296861
5/15/2020,302231
5/16/2020,307402
5/17/2020,311670
5/18/2020,314643
5/19/2020,317905
5/20/2020,323133
5/21/2020,327934
5/22/2020,333376
5/23/2020,338066
5/24/2020,342055
5/25/2020,344789
5/26/2020,348172
5/27/2020,352108
5/28/2020,357284
5/29/2020,361985
5/30/2020,366789
5/31/2020,370839
6/1/2020,373749
6/2/2020,377326
6/3/2020,381980
6/4/2020,387632
6/5/2020,392821
6/6/2020,397605
6/7/2020,401427
6/8/2020,404931
6/9/2020,408161
6/10/2020,413090
6/11/2020,418329
6/12/2020,423091
6/13/2020,427826
6/14/2020,432025
6/15/2020,435154
6/16/2020,438529
6/17/2020,445380
6/18/2020,450630
6/19/2020,456956
6/20/2020,461982
6/21/2020,466189
