when,newcases_bymil.
1/1/2020,0
1/2/2020,0
1/3/2020,0.002
1/4/2020,0
1/5/2020,0.002
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0.001
1/18/2020,0.002
1/19/2020,0.017
1/20/2020,0.003
1/21/2020,0.02
1/22/2020,0.018
1/23/2020,0.012
1/24/2020,0.034
1/25/2020,0.058
1/26/2020,0.086
1/27/2020,0.102
1/28/2020,0.227
1/29/2020,0.19
1/30/2020,0.225
1/31/2020,0.257
2/1/2020,0.272
2/2/2020,0.335
2/3/2020,0.362
2/4/2020,0.416
2/5/2020,0.5
2/6/2020,0.48
2/7/2020,0.408
2/8/2020,0.441
2/9/2020,0.336
2/10/2020,0.383
2/11/2020,0.321
2/12/2020,0.261
2/13/2020,1.944
2/14/2020,0.535
2/15/2020,0.328
2/16/2020,0.26
2/17/2020,0.265
2/18/2020,0.243
2/19/2020,0.228
2/20/2020,0.058
2/21/2020,0.126
2/22/2020,0.139
2/23/2020,0.129
2/24/2020,0.06
2/25/2020,0.102
2/26/2020,0.111
2/27/2020,0.14
2/28/2020,0.163
2/29/2020,0.237
3/1/2020,0.233
3/2/2020,0.267
3/3/2020,0.234
3/4/2020,0.289
3/5/2020,0.291
3/6/2020,0.382
3/7/2020,0.524
3/8/2020,0.509
3/9/2020,0.532
3/10/2020,0.604
3/11/2020,0.631
3/12/2020,0.967
3/13/2020,1.157
3/14/2020,1.266
3/15/2020,1.557
3/16/2020,1.585
3/17/2020,1.763
3/18/2020,2.111
3/19/2020,2.541
3/20/2020,3.896
3/21/2020,4.022
3/22/2020,4.368
3/23/2020,4.362
3/24/2020,5.503
3/25/2020,5.245
3/26/2020,6.7
3/27/2020,7.742
3/28/2020,8.253
3/29/2020,8.116
3/30/2020,7.416
3/31/2020,8.154
4/1/2020,9.313
4/2/2020,9.846
4/3/2020,9.844
4/4/2020,10.385
4/5/2020,10.904
4/6/2020,8.843
4/7/2020,9.28
4/8/2020,9.619
4/9/2020,10.838
4/10/2020,11.007
4/11/2020,11.459
4/12/2020,10.362
4/13/2020,9.141
4/14/2020,8.469
4/15/2020,9.827
4/16/2020,10.23
4/17/2020,10.643
4/18/2020,10.506
4/19/2020,10.229
4/20/2020,9.255
4/21/2020,9.745
4/22/2020,10.998
4/23/2020,8.503
4/24/2020,9.934
4/25/2020,9.463
4/26/2020,12.899
4/27/2020,10.655
4/28/2020,8.439
4/29/2020,9.181
4/30/2020,9.982
5/1/2020,10.851
5/2/2020,11.77
5/3/2020,10.413
5/4/2020,10.072
5/5/2020,9.9
5/6/2020,10.159
5/7/2020,11.523
5/8/2020,12.083
5/9/2020,11.564
5/10/2020,11.566
5/11/2020,9.877
5/12/2020,9.112
5/13/2020,11.006
5/14/2020,11.027
5/15/2020,12.401
5/16/2020,12.577
5/17/2020,12.084
5/18/2020,10.419
5/19/2020,11.179
5/20/2020,12.197
5/21/2020,12.747
5/22/2020,13.846
5/23/2020,13.672
5/24/2020,12.971
5/25/2020,12.087
5/26/2020,11.43
5/27/2020,12.299
5/28/2020,13.16
5/29/2020,15.242
5/30/2020,15.782
5/31/2020,16.395
6/1/2020,13.851
6/2/2020,12.891
6/3/2020,14.435
6/4/2020,16.252
6/5/2020,16.378
6/6/2020,17.128
6/7/2020,16.147
6/8/2020,14.923
6/9/2020,13.58
6/10/2020,16.113
6/11/2020,17.122
6/12/2020,17.65
6/13/2020,18.534
6/14/2020,17.195
6/15/2020,15.665
6/16/2020,15.241
6/17/2020,18.128
6/18/2020,22.634
6/19/2020,17.79
6/20/2020,22.742
6/21/2020,20.73
