,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-01,-4400.274458837822,-8635.58808096014,-2987.114116324784,-4400.274458837822,-4400.274458837822,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,0.0,0.0,0.0,-6059.403574567015
1,2020-01-02,-4223.211746506563,-4535.11742725748,302.860894468738,-4223.211746506563,-4223.211746506563,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,0.0,0.0,0.0,-2227.819043774436
2,2020-01-03,-4046.1490341753033,-4579.527352741839,947.2341339622008,-4046.1490341753033,-4046.1490341753033,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,0.0,0.0,0.0,-1269.340196748335
3,2020-01-04,-3869.086321844044,-1375.1065076908621,3832.672644542182,-3869.0863218440436,-3869.0863218440436,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,0.0,0.0,0.0,819.8951441169334
4,2020-01-05,-3692.023609512784,-3559.7486721556515,1372.7200026363155,-3692.023609512784,-3692.023609512784,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,0.0,0.0,0.0,-857.3284624471853
5,2020-01-06,-3514.9608971815246,-10818.727023171696,-5174.0740688624755,-3514.960897181525,-3514.960897181525,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,0.0,0.0,0.0,-7882.925811605559
6,2020-01-07,-3337.898195060492,-11564.511522889567,-7009.653462385195,-3337.898195060492,-3337.898195060492,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,0.0,0.0,0.0,-9606.682318092324
7,2020-01-08,-3160.835492939459,-7852.767173572811,-2412.242656197239,-3160.835492939459,-3160.835492939459,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,0.0,0.0,0.0,-4819.964608664952
8,2020-01-09,-2983.7727908184265,-3931.751870015716,1443.5756576946137,-2983.7727908184265,-2983.7727908184265,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,0.0,0.0,0.0,-988.3800880855065
9,2020-01-10,-2806.7100886973935,-2620.897622573836,2125.5267336293273,-2806.7100886973935,-2806.7100886973935,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,0.0,0.0,0.0,-29.901251276056428
10,2020-01-11,-2629.647386576361,-805.7951316671891,4839.4121689307385,-2629.647386576361,-2629.647386576361,4688.981465962674,4688.981465962674,4688.981465962674,4688.981465962674,4688.981465962674,4688.981465962674,0.0,0.0,0.0,2059.3340793863126
11,2020-01-12,-2452.584684455328,-1512.1473282797797,3782.348860295422,-2452.584684455328,-2452.584684455328,2834.6951470625986,2834.6951470625986,2834.6951470625986,2834.6951470625986,2834.6951470625986,2834.6951470625986,0.0,0.0,0.0,382.1104626072706
12,2020-01-13,-2275.5219817543834,-9627.988681884799,-3793.6715707007033,-2275.5219817543834,-2275.5219817543834,-4367.964914428286,-4367.964914428286,-4367.964914428286,-4367.964914428286,-4367.964914428286,-4367.964914428286,0.0,0.0,0.0,-6643.486896182669
