ds,yhat
1949-01-01,86.18797736838486
1949-02-01,75.16815454155127
1949-03-01,106.86295853511832
1949-04-01,112.26425764480783
1949-05-01,109.84630841419867
1949-06-01,152.17741425804542
1949-07-01,194.46230724990363
1949-08-01,187.00164232956797
1949-09-01,140.94074510846997
1949-10-01,104.96176143620822
1949-11-01,65.82277209598308
1949-12-01,98.46246263876941
1950-01-01,107.92573747305924
1950-02-01,103.86528413604434
1950-03-01,139.15026937207705
1950-04-01,133.16202985893938
1950-05-01,135.50756367537142
1950-06-01,176.51785988014063
1950-07-01,216.42830188227495
1950-08-01,210.81208874910948
1950-09-01,170.91487351259437
1950-10-01,127.4489142843077
1950-11-01,97.22999259927809
1950-12-01,129.07853739046098
1951-01-01,131.8010992915733
1951-02-01,127.21489472089084
1951-03-01,166.05707809581753
1951-04-01,154.8624368107192
1951-05-01,160.1709052032194
1951-06-01,205.48071431526847
1951-07-01,239.1972418730453
1951-08-01,241.12062239645084
1951-09-01,193.14983698302382
1951-10-01,152.1339787732533
1951-11-01,123.28277186003604
1951-12-01,151.91404000171948
1952-01-01,154.63464543303635
1952-02-01,155.2332434380508
1952-03-01,186.68269597314463
1952-04-01,181.40738203699078
1952-05-01,188.02290702830715
1952-06-01,226.8683690483452
1952-07-01,262.5380807366122
1952-08-01,270.76413963537345
1952-09-01,214.52270826447287
1952-10-01,181.84823791225358
1952-11-01,146.54793896166268
1952-12-01,171.36771906608755
1953-01-01,187.85259916305205
1953-02-01,179.60759461807802
1953-03-01,211.30735577337543
1953-04-01,210.83372038571244
1953-05-01,218.4646095758364
1953-06-01,251.13460756345748
1953-07-01,293.047970334061
1953-08-01,292.647339661232
1953-09-01,238.90573626595062
1953-10-01,206.9054984130467
1953-11-01,170.65852566118986
1953-12-01,196.78760716509964
1954-01-01,217.35614761261235
1954-02-01,203.9419525338572
1954-03-01,239.5095450391173
1954-04-01,236.56846723906796
1954-05-01,243.16020562177073
1954-06-01,276.936397836247
1954-07-01,321.2577813195992
1954-08-01,318.98022184692456
1954-09-01,273.771875272905
1954-10-01,241.1345796389449
1954-11-01,202.0603694437494
1954-12-01,234.31721419742613
1955-01-01,244.90558436332296
1955-02-01,233.32726722094577
1955-03-01,273.02327395464744
1955-04-01,273.56631609621587
1955-05-01,275.6265692634512
1955-06-01,316.001243334377
1955-07-01,360.6760926576088
1955-08-01,353.8781561922093
1955-09-01,309.5869395225827
1955-10-01,273.42927979204666
1955-11-01,237.71996901379669
1955-12-01,271.12604972558904
1956-01-01,277.5612832043509
1956-02-01,273.2247103426911
1956-03-01,308.6695859468495
1956-04-01,307.1088861420256
1956-05-01,308.00986391479023
1956-06-01,358.5929887356051
1956-07-01,391.01443605696784
1956-08-01,394.3053091349234
1956-09-01,346.063665659286
1956-10-01,307.62632045075776
1956-11-01,276.0055478471604
1956-12-01,305.678233215426
1957-01-01,315.2995397914283
1957-02-01,318.78673485474553
1957-03-01,351.33536624253196
1957-04-01,342.13489088939457
1957-05-01,350.29838508525324
1957-06-01,390.9626902155994
1957-07-01,427.107874175818
1957-08-01,430.3812890974293
1957-09-01,380.23162350609226
1957-10-01,342.3981197261621
1957-11-01,317.7661090346795
1957-12-01,340.52819767341066
1958-01-01,355.84866615843345
1958-02-01,350.12137303916006
1958-03-01,386.260498566056
1958-04-01,376.1487875517005
1958-05-01,387.2128907471725
1958-06-01,424.13478807503157
1958-07-01,462.1910675436934
1958-08-01,471.0825777586877
1958-09-01,416.58429351736595
1958-10-01,383.7004604168547
1958-11-01,351.81544364899304
1958-12-01,377.5249672870819
1959-01-01,390.98226933204825
1959-02-01,382.3079566930403
1959-03-01,422.00455903183905
