,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-01,-4400.274458837822,-9168.599145701404,-4089.4546563690374,-4400.274458837822,-4400.274458837822,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,-1659.1291157291932,0.0,0.0,0.0,-6059.403574567015
1,2020-01-02,-4223.211746506563,-5815.641158542725,-142.66139257652452,-4223.211746506563,-4223.211746506563,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,1995.392702732127,0.0,0.0,0.0,-2227.819043774436
2,2020-01-03,-4046.1490341753033,-4293.552496689577,1128.833043620733,-4046.1490341753033,-4046.1490341753033,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,2776.8088374269682,0.0,0.0,0.0,-1269.340196748335
3,2020-01-04,-3869.086321844044,-1952.5886962921245,2958.2855363197714,-3869.0863218440436,-3869.0863218440436,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,4688.981465960977,0.0,0.0,0.0,819.8951441169334
4,2020-01-05,-3692.023609512784,-3281.2234796225894,1531.4553808483336,-3692.023609512784,-3692.023609512784,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,2834.6951470655986,0.0,0.0,0.0,-857.3284624471853
5,2020-01-06,-3514.9608971815246,-10173.644318806608,-4970.894520060232,-3514.960897181525,-3514.960897181525,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,-4367.964914424035,0.0,0.0,0.0,-7882.925811605559
6,2020-01-07,-3337.898195060492,-11894.896687343407,-7071.220649679455,-3337.898195060492,-3337.898195060492,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,-6268.784123031833,0.0,0.0,0.0,-9606.682318092324
7,2020-01-08,-3160.835492939459,-8039.402867438577,-2600.8858162440783,-3160.835492939459,-3160.835492939459,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,-1659.1291157254932,0.0,0.0,0.0,-4819.964608664952
8,2020-01-09,-2983.7727908184265,-3053.4864704528536,2253.937440794968,-2983.7727908184265,-2983.7727908184265,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,1995.39270273292,0.0,0.0,0.0,-988.3800880855065
9,2020-01-10,-2806.7100886973935,-2954.4150531850455,2034.199746434368,-2806.7100886973935,-2806.7100886973935,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,2776.808837421337,0.0,0.0,0.0,-29.901251276056428
