,ds,yhat
173,2020-06-22,135150.64732733855
174,2020-06-23,134307.58014613154
175,2020-06-24,139974.9871808303
176,2020-06-25,144687.26102666554
177,2020-06-26,146526.42918874865
178,2020-06-27,149496.35384467698
179,2020-06-28,148699.81955317792
180,2020-06-29,142554.911519052
181,2020-06-30,141711.84433785154
182,2020-07-01,147379.25137253053
183,2020-07-02,152091.52521838454
184,2020-07-03,153930.69338046713
185,2020-07-04,156900.6180363958
186,2020-07-05,156104.08374489134
187,2020-07-06,149959.175710791
188,2020-07-07,149116.10852957147
189,2020-07-08,154783.51556425277
190,2020-07-09,159495.78941010425
191,2020-07-10,161334.95757218762
192,2020-07-11,164304.8822281157
193,2020-07-12,163508.34793660653
194,2020-07-13,157363.43990250444
195,2020-07-14,156520.3727212915
196,2020-07-15,162187.7797559751
197,2020-07-16,166900.0536018241
198,2020-07-17,168739.22176390025
199,2020-07-18,171709.14641982972
200,2020-07-19,170912.61212832
