ds,yhat
1981-01-01,1200.5090187644462
1981-02-01,1193.204511158666
1981-03-01,1225.7537534203266
1981-04-01,1226.2205827530593
1981-05-01,1234.761599091935
1981-06-01,1268.3720617999431
1981-07-01,1311.1955517193096
1981-08-01,1311.7353857668618
1981-09-01,1258.817066677157
1981-10-01,1227.6135555715805
1981-11-01,1192.1898671252904
1981-12-01,1219.1156753765279
1982-01-01,1240.3173001028163
1982-02-01,1227.5361893028305
1982-03-01,1263.675599866332
1982-04-01,1261.367606345061
1982-05-01,1268.57200693302
1982-06-01,1302.7248898414398
1982-07-01,1347.4108127060108
1982-08-01,1345.5099439272701
1982-09-01,1300.6782880471774
1982-10-01,1268.1713225819647
1982-11-01,1229.231786894468
1982-12-01,1261.6189618168917
