,ds,yhat
0,2020-06-22,135150.64732733855
1,2020-06-23,134307.58014613154
2,2020-06-24,139974.98718083027
3,2020-06-25,144687.26102666554
4,2020-06-26,146526.42918874865
5,2020-06-27,149496.35384467698
6,2020-06-28,148699.81955317795
7,2020-06-29,142554.911519052
8,2020-06-30,141711.8443378515
9,2020-07-01,147379.25137253053
10,2020-07-02,152091.52521838454
11,2020-07-03,153930.6933804671
12,2020-07-04,156900.6180363958
13,2020-07-05,156104.08374489134
14,2020-07-06,149959.17571079097
15,2020-07-07,149116.10852957144
16,2020-07-08,154783.51556425277
17,2020-07-09,159495.78941010425
18,2020-07-10,161334.95757218762
19,2020-07-11,164304.8822281157
20,2020-07-12,163508.34793660653
21,2020-07-13,157363.43990250447
22,2020-07-14,156520.3727212915
23,2020-07-15,162187.7797559751
24,2020-07-16,166900.0536018241
25,2020-07-17,168739.22176390025
26,2020-07-18,171709.14641982972
27,2020-07-19,170912.61212831998
28,2020-07-20,164695.59621585876
29,2020-07-21,163852.5290346519
30,2020-07-22,169519.93606931518
31,2020-07-23,174232.2099151826
32,2020-07-24,176071.3780772602
33,2020-07-25,179041.30273318893
34,2020-07-26,178244.76844167477
