ds,yhat
1981-01-01,1200.4925599054218
1981-02-01,1193.204951176784
1981-03-01,1225.751480295169
1981-04-01,1226.2099749213285
1981-05-01,1234.7557654302655
1981-06-01,1268.3642229448676
1981-07-01,1311.1867276037192
1981-08-01,1311.728361114555
1981-09-01,1258.8106746573196
1981-10-01,1227.6050130056453
1981-11-01,1192.1808556518406
1981-12-01,1219.1041124583867
1982-01-01,1240.304577390168
1982-02-01,1227.5280835913754
1982-03-01,1263.661763849657
1982-04-01,1261.3604729805065
1982-05-01,1268.5610171261465
1982-06-01,1302.714153701436
1982-07-01,1347.4004498820702
1982-08-01,1345.4981680270794
1982-09-01,1300.6642028232916
1982-10-01,1268.1605754527288
1982-11-01,1229.218958114161
1982-12-01,1261.6060059874335
