when,priceavg
5/1/2020,58970
5/2/2020,58488
5/3/2020,58476
5/4/2020,50901
5/5/2020,46957
5/6/2020,44767
5/7/2020,62478
5/8/2020,75490
5/9/2020,51245
5/10/2020,48299
5/11/2020,41504
5/12/2020,52907
5/13/2020,63072
5/14/2020,53546
5/15/2020,43794
5/16/2020,51554
5/17/2020,87168
5/18/2020,52637
5/19/2020,41814
5/20/2020,62539
5/21/2020,83341
5/22/2020,49994
5/23/2020,49887
5/24/2020,44651
5/25/2020,43063
5/26/2020,41620
5/27/2020,39735
5/28/2020,38773
5/29/2020,47588
5/30/2020,49035
5/31/2020,44244
6/1/2020,42251
6/2/2020,41391
6/3/2020,40620
6/4/2020,38373
6/5/2020,35921
6/6/2020,32643
6/7/2020,46029
6/8/2020,63740
6/9/2020,61278
6/10/2020,44976
6/11/2020,39778
6/12/2020,35933
6/13/2020,35271
6/14/2020,60947
6/15/2020,40580
6/16/2020,41020
6/17/2020,42490
